"REGION","ORDER TYPE","SEX","DATE","COUNT"
"National Security Division","Suspended sentence order with requirements","Male","2023Q1",4
"National Security Division","Youth Rehabilitation Order","Male","2023Q1",1
"North East","All community sentences","Female","2023Q1",660
"North East","All community sentences","Male","2023Q1",3196
"North East","All court orders","Female","2023Q1",960
"North East","All court orders","Male","2023Q1",5218
"North East","All pre- and post-release supervision","Female","2023Q1",363
"North East","All pre- and post-release supervision","Male","2023Q1",6525
"North East","All supervision","Female","2023Q1",1297
"North East","All supervision","Male","2023Q1",11461
"North East","All supervision in the community","Female","2023Q1",1134
"North East","All supervision in the community","Male","2023Q1",7709
"North East","Community order","Female","2023Q1",659
"North East","Community order","Male","2023Q1",3180
"North East","Other sentences","Female","2023Q1",307
"North East","Other sentences","Male","2023Q1",2132
"North East","Post-release supervision","Female","2023Q1",193
"North East","Post-release supervision","Male","2023Q1",2663
"North East","Pre-release supervision","Female","2023Q1",176
"North East","Pre-release supervision","Male","2023Q1",3900
"North East","Supervision Default Order","Female","2023Q1",1
"North East","Supervision Default Order","Male","2023Q1",9
"North East","Suspended sentence order with requirements","Female","2023Q1",307
"North East","Suspended sentence order with requirements","Male","2023Q1",2132
"North East","Youth Rehabilitation Order","Male","2023Q1",10
"North West","All community sentences","Female","2023Q1",1239
"North West","All community sentences","Male","2023Q1",5790
"North West","All court orders","Female","2023Q1",1849
"North West","All court orders","Male","2023Q1",9564
"North West","All pre- and post-release supervision","Female","2023Q1",709
"North West","All pre- and post-release supervision","Male","2023Q1",13007
"North West","All supervision","Female","2023Q1",2533
"North West","All supervision","Male","2023Q1",22119
"North West","All supervision in the community","Female","2023Q1",2253
"North West","All supervision in the community","Male","2023Q1",15020
"North West","Community order","Female","2023Q1",1235
"North West","Community order","Male","2023Q1",5724
"North West","Other sentences","Female","2023Q1",633
"North West","Other sentences","Male","2023Q1",3978
"North West","Post-release supervision","Female","2023Q1",424
"North West","Post-release supervision","Male","2023Q1",5735
"North West","Pre-release supervision","Female","2023Q1",285
"North West","Pre-release supervision","Male","2023Q1",7315
"North West","Supervision Default Order","Female","2023Q1",1
"North West","Supervision Default Order","Male","2023Q1",30
"North West","Suspended sentence order with requirements","Female","2023Q1",633
"North West","Suspended sentence order with requirements","Male","2023Q1",3978
"North West","Youth Rehabilitation Order","Female","2023Q1",4
"North West","Youth Rehabilitation Order","Male","2023Q1",46
"Other","All pre- and post-release supervision","Female","2023Q1",1
"Other","All pre- and post-release supervision","Male","2023Q1",7
"Other","All supervision","Female","2023Q1",1
"Other","All supervision","Male","2023Q1",7
"Other","All supervision in the community","Male","2023Q1",2
"Other","Post-release supervision","Male","2023Q1",2
"Other","Pre-release supervision","Female","2023Q1",1
"Other","Pre-release supervision","Male","2023Q1",5
"South Central","All community sentences","Female","2023Q1",642
"South Central","All community sentences","Male","2023Q1",4122
"South Central","All court orders","Female","2023Q1",888
"South Central","All court orders","Male","2023Q1",6253
"South Central","All pre- and post-release supervision","Female","2023Q1",330
"South Central","All pre- and post-release supervision","Male","2023Q1",6349
"South Central","All supervision","Female","2023Q1",1201
"South Central","All supervision","Male","2023Q1",12367
"South Central","All supervision in the community","Female","2023Q1",1075
"South Central","All supervision in the community","Male","2023Q1",8998
"South Central","Community order","Female","2023Q1",641
"South Central","Community order","Male","2023Q1",4095
"South Central","Other sentences","Female","2023Q1",266
"South Central","Other sentences","Male","2023Q1",2234
"South Central","Post-release supervision","Female","2023Q1",201
"South Central","Post-release supervision","Male","2023Q1",2900
"South Central","Pre-release supervision","Female","2023Q1",130
"South Central","Pre-release supervision","Male","2023Q1",3458
"South Central","Supervision Default Order","Male","2023Q1",2
"South Central","Suspended sentence order with requirements","Female","2023Q1",266
"South Central","Suspended sentence order with requirements","Male","2023Q1",2234
"South Central","Youth Rehabilitation Order","Female","2023Q1",1
"South Central","Youth Rehabilitation Order","Male","2023Q1",25
"South West","All community sentences","Female","2023Q1",944
"South West","All community sentences","Male","2023Q1",5286
"South West","All court orders","Female","2023Q1",1296
"South West","All court orders","Male","2023Q1",7666
"South West","All pre- and post-release supervision","Female","2023Q1",381
"South West","All pre- and post-release supervision","Male","2023Q1",7566
"South West","All supervision","Female","2023Q1",1654
"South West","All supervision","Male","2023Q1",14989
"South West","All supervision in the community","Female","2023Q1",1492
"South West","All supervision in the community","Male","2023Q1",11026
"South West","Community order","Female","2023Q1",943
"South West","Community order","Male","2023Q1",5244
"South West","Other sentences","Female","2023Q1",377
"South West","Other sentences","Male","2023Q1",2525
"South West","Post-release supervision","Female","2023Q1",213
"South West","Post-release supervision","Male","2023Q1",3530
"South West","Pre-release supervision","Female","2023Q1",169
"South West","Pre-release supervision","Male","2023Q1",4055
"South West","Supervision Default Order","Male","2023Q1",11
"South West","Suspended sentence order with requirements","Female","2023Q1",377
"South West","Suspended sentence order with requirements","Male","2023Q1",2525
"South West","Youth Rehabilitation Order","Female","2023Q1",1
"South West","Youth Rehabilitation Order","Male","2023Q1",33
"Wales","All community sentences","Female","2023Q1",675
"Wales","All community sentences","Male","2023Q1",3269
"Wales","All court orders","Female","2023Q1",1044
"Wales","All court orders","Male","2023Q1",5587
"Wales","All pre- and post-release supervision","Female","2023Q1",480
"Wales","All pre- and post-release supervision","Male","2023Q1",7388
"Wales","All supervision","Female","2023Q1",1500
"Wales","All supervision","Male","2023Q1",12759
"Wales","All supervision in the community","Female","2023Q1",1287
"Wales","All supervision in the community","Male","2023Q1",8774
"Wales","Community order","Female","2023Q1",671
"Wales","Community order","Male","2023Q1",3245
"Wales","Other sentences","Female","2023Q1",379
"Wales","Other sentences","Male","2023Q1",2406
"Wales","Post-release supervision","Female","2023Q1",260
"Wales","Post-release supervision","Male","2023Q1",3337
"Wales","Pre-release supervision","Female","2023Q1",223
"Wales","Pre-release supervision","Male","2023Q1",4130
"Wales","Supervision Default Order","Female","2023Q1",4
"Wales","Supervision Default Order","Male","2023Q1",5
"Wales","Suspended sentence order with requirements","Female","2023Q1",379
"Wales","Suspended sentence order with requirements","Male","2023Q1",2406
"Wales","Youth Rehabilitation Order","Male","2023Q1",22
"West Midlands","All community sentences","Female","2023Q1",944
"West Midlands","All community sentences","Male","2023Q1",5200
"West Midlands","All court orders","Female","2023Q1",1409
"West Midlands","All court orders","Male","2023Q1",8486
"West Midlands","All pre- and post-release supervision","Female","2023Q1",706
"West Midlands","All pre- and post-release supervision","Male","2023Q1",13460
"West Midlands","All supervision","Female","2023Q1",2072
"West Midlands","All supervision","Male","2023Q1",21586
"West Midlands","All supervision in the community","Female","2023Q1",1764
"West Midlands","All supervision in the community","Male","2023Q1",14312
"West Midlands","Community order","Female","2023Q1",943
"West Midlands","Community order","Male","2023Q1",5145
"West Midlands","Other sentences","Female","2023Q1",489
"West Midlands","Other sentences","Male","2023Q1",3400
"West Midlands","Post-release supervision","Female","2023Q1",386
"West Midlands","Post-release supervision","Male","2023Q1",6050
"West Midlands","Pre-release supervision","Female","2023Q1",321
"West Midlands","Pre-release supervision","Male","2023Q1",7420
"West Midlands","Supervision Default Order","Male","2023Q1",9
"West Midlands","Suspended sentence order with requirements","Female","2023Q1",489
"West Midlands","Suspended sentence order with requirements","Male","2023Q1",3400
"West Midlands","Youth Rehabilitation Order","Female","2023Q1",1
"West Midlands","Youth Rehabilitation Order","Male","2023Q1",51
"Yorkshire and the Humber","All community sentences","Female","2023Q1",1241
"Yorkshire and the Humber","All community sentences","Male","2023Q1",6916
"Yorkshire and the Humber","All court orders","Female","2023Q1",1746
"Yorkshire and the Humber","All court orders","Male","2023Q1",10698
"Yorkshire and the Humber","All pre- and post-release supervision","Female","2023Q1",846
"Yorkshire and the Humber","All pre- and post-release supervision","Male","2023Q1",14566
"Yorkshire and the Humber","All supervision","Female","2023Q1",2546
"Yorkshire and the Humber","All supervision","Male","2023Q1",24792
"Yorkshire and the Humber","All supervision in the community","Female","2023Q1",2203
"Yorkshire and the Humber","All supervision in the community","Male","2023Q1",16846
"Yorkshire and the Humber","Community order","Female","2023Q1",1238
"Yorkshire and the Humber","Community order","Male","2023Q1",6876
"Yorkshire and the Humber","Other sentences","Female","2023Q1",530
"Yorkshire and the Humber","Other sentences","Male","2023Q1",4004
"Yorkshire and the Humber","Post-release supervision","Female","2023Q1",495
"Yorkshire and the Humber","Post-release supervision","Male","2023Q1",6486
"Yorkshire and the Humber","Pre-release supervision","Female","2023Q1",354
"Yorkshire and the Humber","Pre-release supervision","Male","2023Q1",8108
"Yorkshire and the Humber","Supervision Default Order","Female","2023Q1",1
"Yorkshire and the Humber","Supervision Default Order","Male","2023Q1",19
"Yorkshire and the Humber","Suspended sentence order with requirements","Female","2023Q1",530
"Yorkshire and the Humber","Suspended sentence order with requirements","Male","2023Q1",4004
"Yorkshire and the Humber","Youth Rehabilitation Order","Female","2023Q1",2
"Yorkshire and the Humber","Youth Rehabilitation Order","Male","2023Q1",26
