Date,Outcomes,Predominant function of establishment,Establishment,Adjudicator,Sex,Age group,Ethnicity,Religion,Offence,Detailed offence,Count
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,b Muslim,Other offences, Endangers health/safety of any person,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,b Muslim,Wilful Damage,Cause damage to any part of a prison,2
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,3
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,30 - 39,e White,i No religion,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,i No religion,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,Is disrespectful,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,50 - 59,e White,e Buddhist,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Frankland,Governor,M,70 and over,e White,g Other religious groups,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,25 - 29,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,d Other ethnic group,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,5
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,f Jewish,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Full Sutton,Governor,M,40 - 49,e White,f Jewish,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Full Sutton,Independent adjudicator,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,25 - 29,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Drug related offence,2
Q1,Dismissed,Category A (High Security),Long Lartin,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,18 - 20,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,21 - 24,e White,i No religion,Disobedience/disrespect,Disobeys any rule or regulation,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,e Buddhist,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,25 - 29,e White,f Jewish,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,6
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,3
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,Assault on staff,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,Commits any assault,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,30 - 39,e White,i No religion,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,40 - 49,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Manchester,Governor,M,50 - 59,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Manchester,Independent adjudicator,M,25 - 29,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Manchester,Independent adjudicator,M,40 - 49,e White,i No religion,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,21 - 24,e White,e Buddhist,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Unauthorised transactions,Alcohol related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,Assault on a prisoner,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,Assault on staff,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,a Asian or Asian British,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Takes improperly any article,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,f Jewish,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,Fights with any person,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Other offences, Endangers health/safety of any person,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Is disrespectful,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,g Other religious groups,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,30 - 39,e White,i No religion,Violence,Assault on staff,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,b Black/ African/ Caribbean/ Black British,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,e Buddhist,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,c Mixed/ Multiple ethnic groups,f Jewish,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Other offences,Absent from where he should be/Present where he should not,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Drug related offence,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,a Christian,Violence,Fights with any person,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,g Other religious groups,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,g Other religious groups,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,i No religion,Other offences,Obstructs an officer executing his duty,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,40 - 49,e White,i No religion,Unauthorised transactions,Drug related offence,2
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,3
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,60 - 69,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,60 - 69,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Wakefield,Governor,M,70 and over,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,21 - 24,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Obstructs an officer executing his duty,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,f Jewish,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,25 - 29,d Other ethnic group,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,a Asian or Asian British,b Muslim,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,30 - 39,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,5
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,40 - 49,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,a Asian or Asian British,e Buddhist,Violence,Fights with any person,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Whitemoor,Governor,M,50 - 59,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,21 - 24,e White,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,25 - 29,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,2
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,b Muslim,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,30 - 39,e White,e Buddhist,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,a Christian,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,e Buddhist,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,40 - 49,e White,g Other religious groups,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category A (High Security),Woodhill,Governor,M,50 - 59,e White,a Christian,Disobedience/disrespect,Threats/Abusive and Insulting racist words/behaviour,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,a Asian or Asian British,b Muslim,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category B,Dovegate,Governor,M,21 - 24,e White,b Muslim,Violence,Assault on a prisoner,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,a Christian,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,b Black/ African/ Caribbean/ Black British,b Muslim,Violence,Assault on staff,1
Q1,Dismissed,Category B,Dovegate,Governor,M,25 - 29,e White,a Christian,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,g Other religious groups,Violence,Fights with any person,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,c Mixed/ Multiple ethnic groups,i No religion,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,2
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Disobedience/disrespect,Disobeys any rule or regulation,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Drug related offence,5
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,a Christian,Unauthorised transactions,Possession of unauthorised articles,3
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,b Muslim,Other offences,Absent from where he should be/Present where he should not,1
Q1,Dismissed,Category B,Dovegate,Governor,M,30 - 39,e White,i No religion,Wilful Damage,Cause damage to any part of a prison,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,a Asian or Asian British,b Muslim,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category B,Dovegate,Governor,M,40 - 49,e White,a Christian,Other offences, Endangers health/safety of any person,1
Q1,Dismissed,Category B,Dovegate,Governor,M,50 - 59,a Asian or Asian British,b Muslim,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category B,Dovegate,Governor,M,50 - 59,e White,i No religion,Unauthorised transactions,Drug related offence,1
Q1,Dismissed,Category B,Dovegate,Governor,M,60 - 69,e White,i No religion,Unauthorised transactions,Possession of unauthorised articles,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,c Mixed/ Multiple ethnic groups,b Muslim,Disobedience/disrespect,Disobeys any lawful order,1
Q1,Dismissed,Category B,Garth,Governor,M,21 - 24,e White,a Christian,Disobedience/disrespect,Disobeys any lawful order,1
